rank,team,conference,winloss,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMSoS,OppO,OppD,AdjEMNCSOS
114,Utah Valley,WAC,25-8,4.51,106.8,102.3,68.0,0.089,-1.94,105.0,106.9,0.6
115,Florida Atlantic,Amer,18-15,4.45,112.3,107.9,68.8,-0.019,2.47,108.1,105.6,4.37
116,Samford,SC,22-10,4.41,112.6,108.2,71.0,0.018,-2.7,105.7,108.4,-0.16
117,Syracuse,ACC,14-19,4.41,110.4,106.0,68.2,0.026,8.55,111.7,103.1,2.54
118,DePaul,BE,14-19,4.34,109.7,105.3,67.0,-0.038,8.31,110.6,102.3,-9.56
119,Middle Tennessee,CUSA,22-11,4.29,109.1,104.9,68.3,0.088,2.58,107.2,104.6,2.75
120,Wofford,SC,19-15,4.16,113.7,109.5,64.1,-0.032,-0.78,106.7,107.5,5.22
121,South Alabama,SB,21-11,4.1,107.4,103.3,63.1,-0.042,-4.24,104.2,108.5,-3.15
122,Northern Colorado,BSky,25-9,4.03,112.1,108.0,68.8,0.042,-4.15,105.6,109.7,2.1
123,Jacksonville State,CUSA,22-12,3.92,109.3,105.4,64.8,0.052,1.71,107.3,105.6,-0.19
124,Washington State,WCC,19-14,3.89,111.7,107.8,70.6,0.076,4.12,109.4,105.3,2.52
125,N.C. State,ACC,12-19,3.78,107.6,103.8,65.3,-0.079,6.89,111.0,104.1,-5.26
126,Louisiana Tech,CUSA,20-12,3.69,108.9,105.2,64.5,0.031,0.84,106.1,105.2,-2.42
127,St. Thomas,Sum,24-10,3.46,113.6,110.2,67.9,-0.01,-3.55,106.8,110.4,-0.55
128,Cornell,Ivy,18-10,3.39,114.3,110.9,71.1,-0.019,-3.14,105.2,108.4,-2.54
129,Belmont,MVC,22-11,3.38,112.4,109.0,70.6,0.081,-0.03,106.9,106.9,-1.53
130,Kennesaw State,CUSA,19-14,3.12,107.1,103.9,70.3,0.035,3.0,107.1,104.1,2.91
